provinsi,kabupaten,kecamatan,ruas_jalan_m,lokasi,jenis_perlengkapan_jalan,koordinat_awal_longtitude,koordinat_awal_latitude,sumber_dana,posisi_jalan,jenis_jalan,jumlah_titik_unit,Kategori_eksisting
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Depan Pabrik Pakan Ternak, Ds. Betek",R. Tikungan ke Kiri,752791,11324004,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Depan Pabrik Pakan Ternak, Ds. Betek",R. Turunan,752805,11324007,APBD 2019,TIMUR,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Depan Pabrik Pakan Ternak, Ds. Betek",R. Jembatan,752859,11324012,APBD 2019,TIMUR,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Selatan Jembatan Betek, Ds. Betek",R. Jembatan,752967,11324037,APBD 2019,BARAT,Kabupaten,1,Rusak
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Timur Jembatan Betek, Ds. Betek",R. Tikungan ke Kanan,753020,11324220,APBD 2019,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Timur Jembatan Betek, Ds. Betek",R. Tikungan ke Kiri,753055,11324304,APBD 2019,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Timur Jembatan Betek, Ds. Betek",R. Banyak Tikungan Pertama ke Kiri,753567,11324758,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Timur Jembatan Betek, Ds. Betek",R. Banyak Tikungan Pertama ke Kiri,753667,11324861,APBD 2019,BARAT,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"SDN. 1 Betek, Ds. Betek",R. Hati Hati,753899,11324127,APBD 2019,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"SDN. 1 Betek, Ds. Betek",R. Banyak Anak,753906,11325135,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"SDN. 1 Betek, Ds. Betek",R. Banyak Anak,753919,11325161,APBD 2019,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"SDN. 1 Betek, Ds. Betek",R. Hati Hati,753927,11325177,APBD 2019,SELATAN,Kabupaten,1,Baik
